NODI : [1 2 3 4 5 6 7 8 9 10 ]
COMMODITY : [1 2 ]
archic : [-1 -1 -1 25 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 6 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 7 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 0 -1 -1 
70 -1 0 -1 -1 -1 -1 157 -1 29 
-1 -1 -1 -1 -1 -1 -1 -1 -1 0 
79 32 92 -1 -1 -1 -1 249 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 34 11 -1 -1 -1 -1 -1 -1 22 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
]
lunghezzarchi : [0 0 0 34 0 0 0 0 0 0 
0 0 0 0 30 0 0 0 0 0 
0 0 0 0 0 14 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
]
occorrenza : [12 13 ]
percorsoc : [0 0 0 0 0 0 -1 1 0 0 
0 0 0 0 0 0 0 0 -1 1 
]
